asset,signal_type,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,longest_losing_streak,sharpe_like,first_entry,last_entry
BTC,FUNDING_EXTREME_LONG,5,3,1.5,12,115,22,0.3181818181818182,-0.6728776856492737,0.005971247405562474,-0.6669064382437113,-0.8026438570989354,-15.222093162899874,7,-0.7438778431055603,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,2.5,12,115,22,0.3181818181818182,-0.672330672804587,0.005985620589456206,-0.6663450522151309,-0.8026438570989354,-15.209742670271105,7,-0.7136681173230245,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,4,12,115,22,0.3181818181818182,-0.6663625397736865,0.006156075134910751,-0.6602064646387757,-0.8026438570989354,-15.074693743591293,7,-0.7185681553098121,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,1.5,12,115,22,0.3181818181818182,-0.6728776856492737,0.005971247405562474,-0.6669064382437113,-0.8026438570989354,-15.222093162899874,7,-0.7438778431055603,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,2.5,12,115,22,0.3181818181818182,-0.672330672804587,0.005985620589456206,-0.6663450522151309,-0.8026438570989354,-15.209742670271105,7,-0.7136681173230245,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,4,12,115,22,0.3181818181818182,-0.6663625397736865,0.006156075134910751,-0.6602064646387757,-0.8026438570989354,-15.074693743591293,7,-0.7185681553098121,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,1.5,12,115,22,0.3181818181818182,-0.6728776856492737,0.005971247405562474,-0.6669064382437113,-0.8026438570989354,-15.222093162899874,7,-0.7438778431055603,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,2.5,12,115,22,0.3181818181818182,-0.672330672804587,0.005985620589456206,-0.6663450522151309,-0.8026438570989354,-15.209742670271105,7,-0.7136681173230245,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,4,12,115,22,0.3181818181818182,-0.6663625397736865,0.006156075134910751,-0.6602064646387757,-0.8026438570989354,-15.074693743591293,7,-0.7185681553098121,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,1.5,12,115,22,0.3181818181818182,-0.6728776856492737,0.005971247405562474,-0.6669064382437113,-0.8026438570989354,-15.222093162899874,7,-0.7438778431055603,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,2.5,12,115,22,0.3181818181818182,-0.672330672804587,0.005985620589456206,-0.6663450522151309,-0.8026438570989354,-15.209742670271105,7,-0.7136681173230245,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,4,12,115,22,0.3181818181818182,-0.6663625397736865,0.006156075134910751,-0.6602064646387757,-0.8026438570989354,-15.074693743591293,7,-0.7185681553098121,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,1.5,12,115,22,0.3181818181818182,-0.6728776856492737,0.005971247405562474,-0.6669064382437113,-0.8026438570989354,-15.222093162899874,7,-0.7438778431055603,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,2.5,12,115,22,0.3181818181818182,-0.672330672804587,0.005985620589456206,-0.6663450522151309,-0.8026438570989354,-15.209742670271105,7,-0.7136681173230245,2026-04-06T10:00:00Z,2026-05-13T15:00:00Z
