asset,signal_type,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,longest_losing_streak,sharpe_like,first_entry,last_entry
BTC,FUNDING_EXTREME_LONG,5,3,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,1.5,12,29,4,0.5,-0.5358441823665849,0.004605408105022832,-0.5312387742615621,-0.292728147043676,-2.418217772098282,1,-0.5364881153894165,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,2.5,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,4,12,29,4,0.5,-0.4606170665608339,0.004917908105022831,-0.45569915845581105,-0.292728147043676,-2.116059308875278,1,-0.5171933006435584,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,3,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,4,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,1.5,24,29,4,0.75,0.00886485762619793,0.00665306792237443,0.015517925548572384,0.3749232231539986,-1.9960825742148598,1,0.012681409353322992,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,2.5,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,4,24,29,4,0.75,0.4374613024512197,0.009658541666666668,0.4471198441178864,0.3749232231539986,-0.2696748999376037,1,0.790650477968275,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
