timestamp,asset,mark_px,funding_ann_pct
2026-05-06T00,AMZN,272.24,69.0314
2026-05-06T00,BTC,80989,5.9494
2026-05-06T00,GOLD,4602.8,5.475
2026-05-06T00,HYPE,43.826,10.3613
2026-05-06T00,OIL,101.07,5.475
2026-05-06T01,AMZN,272.42,37.1932
2026-05-06T01,BTC,81216,6.2498
2026-05-06T01,GOLD,4623.2,5.475
2026-05-06T01,HYPE,43.929,2.0216000000000003
2026-05-06T01,OIL,101.04,-7.5661000000000005
2026-05-06T02,AMZN,272.39,48.7736
2026-05-06T02,BTC,81163,-1.7565999999999997
2026-05-06T02,GOLD,4632.6,5.475
2026-05-06T02,HYPE,43.962,-42.9487
2026-05-06T02,OIL,100.43,-28.9699
2026-05-06T03,AMZN,272.41,42.6104
2026-05-06T03,BTC,81574,6.4724
2026-05-06T03,GOLD,4645.4,5.475
2026-05-06T03,HYPE,44.093,-18.8184
2026-05-06T03,OIL,100.83,-31.741999999999997
2026-05-06T05,AMZN,272.9,24.1393
2026-05-06T05,BTC,81211,0.26180000000000003
2026-05-06T05,GOLD,4652.4,5.475
2026-05-06T05,HYPE,44.097,-41.1996
2026-05-06T05,OIL,100.93,-26.5841
2026-05-06T06,AMZN,273.02,29.457100000000004
2026-05-06T06,BTC,81293,10.1131
2026-05-06T06,GOLD,4665.7,5.475
2026-05-06T06,HYPE,44.105,10.95
2026-05-06T06,OIL,100.52,-27.315299999999997
2026-05-06T07,AMZN,273.09,37.1774
2026-05-06T07,BTC,81544,10.95
2026-05-06T07,GOLD,4665.4,5.475
2026-05-06T07,HYPE,44.352,10.95
2026-05-06T07,OIL,100.29,-32.4111
2026-05-06T08,AMZN,272.82,49.7875
2026-05-06T08,BTC,81529,10.95
2026-05-06T08,GOLD,4679.5,5.475
2026-05-06T08,HYPE,44.296,-10.0098
2026-05-06T08,OIL,98.925,-9.9504
2026-05-06T09,AMZN,274.76,19.1146
2026-05-06T09,BTC,81691,10.95
2026-05-06T09,GOLD,4698.5,5.475
2026-05-06T09,HYPE,43.754,4.8184
2026-05-06T09,OIL,95.296,-28.7129
2026-05-06T10,AMZN,276.44,53.7312
2026-05-06T10,BTC,82183,10.95
2026-05-06T10,GOLD,4703.7,5.475
2026-05-06T10,HYPE,44.3,-9.088899999999999
2026-05-06T10,OIL,92.304,-27.0147
2026-05-06T11,AMZN,276.56,61.8241
2026-05-06T11,BTC,82646,10.95
2026-05-06T11,GOLD,4711.9,5.475
2026-05-06T11,HYPE,44.594,-15.682199999999998
2026-05-06T11,OIL,90.479,-19.2366
2026-05-06T12,AMZN,275.1,27.0469
2026-05-06T12,BTC,82393,6.1092
2026-05-06T12,GOLD,4685.3,5.475
2026-05-06T12,HYPE,44.317,-21.8978
2026-05-06T12,OIL,94.201,-14.09
2026-05-06T13,AMZN,272.67,35.9375
2026-05-06T13,BTC,81853,4.2725
2026-05-06T13,GOLD,4685.3,5.475
2026-05-06T13,HYPE,44.118,-8.5269
2026-05-06T13,OIL,96.401,-19.35
2026-05-06T14,AMZN,273.98,26.3034
2026-05-06T14,BTC,81645,10.95
2026-05-06T14,GOLD,4709.8,5.475
2026-05-06T14,HYPE,43.711,10.95
2026-05-06T14,OIL,95.041,-37.2714
2026-05-06T15,AMZN,274.35,35.5287
2026-05-06T15,BTC,81706,10.95
2026-05-06T15,GOLD,4698.1,5.475
2026-05-06T15,HYPE,43.51,10.95
2026-05-06T15,OIL,94.854,-42.2795
2026-05-06T16,AMZN,275.78,28.157500000000002
2026-05-06T16,BTC,81533,10.95
2026-05-06T16,GOLD,4687.9,5.475
2026-05-06T16,HYPE,43.536,10.95
2026-05-06T16,OIL,94.825,-43.0296
2026-05-06T18,AMZN,276.85,47.5873
2026-05-06T18,BTC,81470,2.5166999999999997
2026-05-06T18,GOLD,4689.2,5.475
2026-05-06T18,HYPE,43.057,10.95
2026-05-06T18,OIL,94.77,-46.2793
2026-05-06T19,AMZN,276.56,48.478300000000004
2026-05-06T19,BTC,81250,6.7126
2026-05-06T19,GOLD,4700.3,5.475
2026-05-06T19,HYPE,43.228,10.95
2026-05-06T19,OIL,94.841,-94.0082
2026-05-06T20,AMZN,275.25,31.0255
2026-05-06T20,BTC,81654,10.95
2026-05-06T20,GOLD,4695.4,5.475
2026-05-06T20,HYPE,43.417,10.95
2026-05-06T20,OIL,95.314,-94.793
2026-05-06T21,AMZN,275.07,12.9951
2026-05-06T21,BTC,81405,7.677200000000001
2026-05-06T21,GOLD,4693.3,21.4475
2026-05-06T21,HYPE,43.231,10.95
2026-05-06T21,OIL,95.835,-151.072
2026-05-06T22,AMZN,275.11,23.1335
2026-05-06T22,BTC,81221,3.2914
