month,buy_hold,long_ret,long_trades,long_wr,short_ret,short_trades,short_wr,regime_ret,regime_trades,regime_wr
May'25,-25.9,-2.5,4,25,18.9,21,48,23.4,13,62
Jun'25,7.0,-11.1,37,35,6.9,118,43,-6.2,86,35
Jul'25,19.3,25.2,21,38,-24.5,101,33,16.8,62,37
Aug'25,-18.0,-13.7,7,14,7.8,31,35,-24.5,21,19
Sep'25,-19.6,3.8,19,42,24.2,118,34,26.6,80,32
Oct'25,-48.3,11.5,25,36,128.6,118,37,32.7,92,32
Nov'25,2.8,6.3,37,35,32.9,118,39,43.8,86,38
Dec'25,-13.2,9.3,27,48,2.8,138,28,-39.2,104,23
Jan'26,-17.8,-13.1,29,24,16.0,122,38,-8.5,98,31
Feb'26,-27.5,2.8,21,24,19.4,108,33,-1.7,77,35
Mar'26,4.0,-1.5,25,40,3.4,122,31,-10.9,86,34
Apr'26,13.2,1.7,21,38,-8.6,118,26,-9.5,71,30
May'26,-12.6,-16.3,17,29,-4.9,100,34,-1.9,68,34
Full Year,-88.1,-11.6,288,34,672.5,1335,34,91.6,1009,33
