thr,s_ema,s_in,s_out,l_ema,l_in,l_out,avg_ret,avg_trades,neg_coins,total_coins,total_liqs,avg_sharpe,avg_mdd
8,6,0.3,0.75,5,0.5,0.5,22774.4338,329.0769,10,13,0,1.1679,95.1784
8,6,0.3,0.75,8,0.5,0.5,19532.9015,329.2308,10,13,0,1.1895,95.1556
10,6,0.3,0.75,5,0.5,0.5,19117.9137,325.3846,9,13,0,1.241,94.1459
10,6,0.3,0.75,5,0.5,1.0,18147.7985,312.7692,10,13,0,1.0932,93.9168
12,6,0.3,0.75,5,0.5,1.0,16373.7943,313.1538,8,13,0,1.3039,93.7036
12,6,0.3,0.75,8,1.0,0.5,16362.8313,313.9231,7,13,0,1.4495,92.9696
12,8,0.3,0.75,5,0.5,1.0,16096.7401,305.8462,10,13,0,1.3333,91.7578
10,6,0.3,0.75,8,0.5,0.5,16079.9732,325.2308,8,13,0,1.2585,94.1746
12,8,0.3,0.75,8,1.0,0.5,16076.1676,307.0769,8,13,0,1.4588,90.7865
12,6,0.3,0.75,3,1.0,0.5,16070.3921,310.2308,7,13,0,1.4484,92.7003
12,6,0.3,0.75,5,0.5,0.5,15793.9292,317.0,7,13,0,1.4299,93.0581
12,8,0.3,0.75,3,1.0,0.5,15793.5191,303.1538,7,13,0,1.4625,90.0634
12,6,0.3,0.75,3,1.0,1.0,15566.9852,309.2308,8,13,0,1.3704,93.241
12,8,0.3,0.75,5,0.5,0.5,15502.7843,310.1538,8,13,0,1.4359,90.7732
8,6,0.3,0.75,5,0.5,1.0,15451.0047,313.1538,10,13,0,1.0588,95.1717
12,8,0.3,0.75,3,1.0,1.0,15304.4058,302.0769,10,13,0,1.3896,90.7035
8,6,0.3,0.75,3,0.5,0.5,15124.9005,322.1538,10,13,0,1.1767,94.6572
10,8,0.3,1.0,5,0.5,1.0,15105.0528,246.0,8,13,0,1.3412,92.6856
12,8,0.3,0.75,8,0.5,0.5,15087.4753,309.9231,8,13,0,1.4492,90.6698
12,6,0.3,0.75,3,0.5,0.5,14545.8808,315.7692,7,13,0,1.3586,93.4776
8,8,0.3,0.75,5,0.5,0.5,14521.3527,322.5385,10,13,0,1.185,92.6195
12,6,0.3,0.75,8,1.0,1.0,14504.9376,312.2308,7,13,0,1.383,93.2238
12,6,0.3,0.75,8,0.5,0.5,14478.3392,316.8462,7,13,0,1.4386,93.2258
12,8,0.3,0.75,3,0.5,0.5,14278.9207,308.8462,9,13,0,1.3719,91.4548
12,8,0.3,0.75,8,1.0,1.0,14267.4681,305.0,10,13,0,1.4122,90.9553
10,4,0.3,0.75,5,0.5,1.0,14252.8868,288.6154,8,13,0,1.31,95.0413
12,8,0.3,0.75,8,0.5,1.0,14164.6567,306.6154,10,13,0,1.3991,90.9134
10,6,0.3,0.75,8,1.0,1.0,14050.8269,310.8462,9,13,0,1.2612,94.1577
8,8,0.3,1.0,5,0.5,1.0,14030.8588,247.6923,9,13,0,1.3187,93.7931
8,8,0.3,1.0,5,0.5,0.5,13885.1875,262.0769,7,13,0,1.4218,93.6543
12,6,0.3,0.75,5,1.0,0.5,13445.7834,313.0769,7,13,0,1.433,92.8443
10,6,0.3,0.75,5,1.0,1.0,13219.7957,307.8462,7,13,0,1.2252,94.2725
12,8,0.3,0.75,5,1.0,0.5,13206.0709,306.2308,9,13,0,1.4427,90.2797
10,6,0.3,0.75,5,1.0,0.5,12877.1945,313.2308,7,13,0,1.368,93.6027
10,6,0.3,0.75,8,0.5,1.0,12875.6936,315.7692,10,13,0,1.1589,94.3401
10,8,0.3,0.75,5,0.5,0.5,12759.735,318.9231,9,13,0,1.244,91.9223
10,8,0.5,1.0,5,0.5,1.0,12574.8681,229.2308,8,13,0,1.3588,90.2597
8,8,0.5,1.0,5,0.5,1.0,12364.5887,231.6923,8,13,0,1.3258,92.2671
8,8,0.3,0.75,8,0.5,0.5,12275.4617,322.6154,10,13,0,1.2067,92.9272
12,6,0.3,0.75,5,1.0,1.0,12236.7252,311.1538,9,13,0,1.3164,93.461
12,8,0.3,0.75,5,1.0,1.0,12025.6083,303.9231,10,13,0,1.348,91.0433
10,6,0.3,0.75,8,1.0,0.5,11871.4757,315.9231,8,13,0,1.3493,94.013
10,8,0.3,0.75,5,0.5,1.0,11820.4002,305.9231,11,13,0,1.0923,92.6797
12,8,0.5,0.75,5,0.5,1.0,11433.5999,275.2308,8,13,0,1.3844,89.7651
8,8,0.3,1.0,8,0.5,0.5,11346.1962,261.7692,7,13,0,1.4529,93.756
8,4,0.3,0.75,5,0.5,0.5,11293.3266,303.9231,9,13,0,1.3202,95.8236
8,8,0.5,1.0,5,0.5,0.5,11100.6516,245.9231,7,13,0,1.4118,92.2195
12,8,0.5,0.75,8,1.0,0.5,10931.2644,276.3846,8,13,0,1.5071,89.0329
10,6,0.3,0.75,3,0.5,0.5,10689.6258,319.3846,7,13,0,1.2873,94.1004
10,6,0.3,0.75,3,1.0,0.5,10595.8322,305.3846,6,13,0,1.4196,94.014
12,8,0.5,0.75,5,0.5,0.5,10512.9536,279.5385,8,13,0,1.4761,89.3002
10,4,0.3,0.75,5,0.5,0.5,10348.7597,300.1538,8,13,0,1.4432,94.3645
8,8,0.3,1.0,3,0.5,0.5,10344.616,255.7692,7,13,0,1.442,93.3007
10,4,0.3,0.75,8,0.5,1.0,10341.3395,291.3846,9,13,0,1.357,94.8027
10,8,0.3,0.75,8,0.5,0.5,10278.1178,318.6154,9,13,0,1.2682,91.8044
12,8,0.5,0.75,3,1.0,0.5,10101.1629,272.5385,8,13,0,1.5044,88.2016
10,6,0.3,0.75,3,1.0,1.0,10058.832,300.9231,8,13,0,1.1863,95.6067
8,4,0.3,0.75,8,0.5,0.5,9804.2417,303.4615,9,13,0,1.352,95.714
12,8,0.5,0.75,3,1.0,1.0,9764.56,271.5385,9,13,0,1.4287,88.312
12,8,0.3,0.75,3,0.5,1.0,9763.1229,302.5385,11,13,0,1.07,94.2341
8,6,0.5,1.0,5,0.5,0.5,9724.6434,244.6923,8,13,0,1.3043,93.4966
8,6,0.5,0.75,5,0.5,0.5,9690.5443,299.2308,9,13,0,1.1484,92.8709
12,8,0.5,0.75,8,1.0,1.0,9684.2774,274.3846,8,13,0,1.4643,88.9052
12,8,0.5,0.75,3,0.5,0.5,9668.6944,278.2308,8,13,0,1.4149,89.7164
12,8,0.5,0.75,8,0.5,0.5,9649.1602,279.3077,8,13,0,1.495,89.0488
10,4,0.5,0.75,5,0.5,0.5,9461.7628,269.6923,8,13,0,1.2975,93.2978
8,6,0.3,0.75,8,1.0,0.5,9334.7975,318.0,9,13,0,1.2224,95.1397
12,6,0.3,0.75,8,0.5,1.0,9294.602,314.0,7,13,0,1.3642,93.6062
10,4,0.5,0.75,5,0.5,1.0,8995.2875,258.1538,9,13,0,1.1754,93.7011
