Coin,Strategy,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,Full Year
PURR,Buy Hold,0.057,-0.149,-0.043,0.248,-0.323,-0.363,-0.298,0.243,0.008,0.031,-0.138,0.443,-0.509
PURR,Long Returns,0.004,-0.031,-0.079,0.114,-0.174,-0.353,0.171,0.378,-0.165,0.372,0.126,0.877,1.153
PURR,Long Trades,50,22,22,29,32,25,13,24,22,14,11,18,280
PURR,Long Win Rate,0.320,0.360,0.360,0.310,0.380,0.280,0.380,0.460,0.320,0.500,0.640,0.560,0.380
PURR,Short Returns,-0.141,0.008,-0.088,0.050,0.156,0.008,0.356,-0.027,-0.185,0.289,0.307,0.299,1.891
PURR,Short Trades,73,45,48,46,55,48,31,40,34,24,19,32,492
PURR,Short Win Rate,0.370,0.380,0.400,0.460,0.360,0.440,0.450,0.320,0.440,0.540,0.370,0.410,0.410
PURR,Long/Short Returns,-0.329,-0.119,-0.296,0.067,-0.263,-0.420,-0.090,0.192,-0.413,0.918,0.372,1.356,0.224
PURR,Long/Short Trades,73,44,48,49,60,55,36,44,38,22,19,30,544
PURR,Long/Short Win Rate,0.360,0.390,0.290,0.410,0.280,0.350,0.360,0.340,0.320,0.730,0.630,0.530,0.380
PURR,Hybrid Returns,-0.106,-0.159,-0.104,0.017,0.177,-0.108,0.247,-0.005,-0.179,0.362,0.150,0.180,0.758
PURR,Hybrid Trades,69,43,41,44,48,46,29,36,30,21,18,32,481
PURR,Hybrid Win Rate,0.360,0.300,0.370,0.430,0.330,0.390,0.410,0.330,0.400,0.620,0.330,0.380,0.380
FARTCOIN,Buy Hold,0.070,0.193,-0.180,-0.196,-0.483,0.028,-0.132,-0.178,-0.275,0.040,0.132,-0.126,-0.839
FARTCOIN,Long Returns,-0.111,0.252,-0.137,0.038,0.115,0.063,0.093,-0.131,0.028,-0.015,0.017,-0.163,-0.110
FARTCOIN,Long Trades,37,21,7,19,25,37,27,29,21,25,21,17,285
FARTCOIN,Long Win Rate,0.350,0.380,0.140,0.420,0.360,0.350,0.480,0.240,0.240,0.400,0.380,0.290,0.340
FARTCOIN,Short Returns,-0.087,-0.188,0.062,0.068,0.644,0.347,0.224,0.040,0.362,0.012,-0.166,0.044,3.694
FARTCOIN,Short Trades,58,45,12,38,46,61,47,50,35,43,40,29,501
FARTCOIN,Short Win Rate,0.330,0.330,0.250,0.320,0.390,0.390,0.450,0.400,0.430,0.400,0.300,0.310,0.370
FARTCOIN,Long/Short Returns,-0.139,0.014,-0.139,0.213,0.088,0.484,-0.279,-0.084,-0.050,-0.229,-0.097,0.008,0.244
FARTCOIN,Long/Short Trades,58,41,9,34,52,59,47,52,43,45,38,30,535
FARTCOIN,Long/Short Win Rate,0.330,0.390,0.110,0.350,0.310,0.420,0.340,0.330,0.330,0.360,0.340,0.230,0.350
FARTCOIN,Hybrid Returns,-0.011,-0.241,-0.090,-0.359,0.664,0.194,0.275,-0.008,0.211,0.039,0.023,-0.270,0.054
FARTCOIN,Hybrid Trades,54,43,9,30,42,58,43,47,30,40,34,29,487
FARTCOIN,Hybrid Win Rate,0.310,0.280,0.220,0.230,0.360,0.340,0.420,0.380,0.430,0.380,0.350,0.280,0.350
ADA,Buy Hold,-0.162,0.299,0.108,-0.010,-0.245,-0.304,-0.200,-0.134,-0.042,-0.148,0.016,-0.026,-0.651
ADA,Long Returns,0.041,0.262,-0.109,-0.037,-0.114,-0.171,-0.051,-0.032,-0.069,0.044,-0.100,-0.018,-0.385
ADA,Long Trades,6,13,17,7,13,14,11,9,14,7,8,5,124
ADA,Long Win Rate,0.330,0.620,0.350,0.430,0.310,0.210,0.180,0.440,0.360,0.570,0.380,0.400,0.360
ADA,Short Returns,0.024,-0.052,-0.075,0.001,0.335,0.173,0.131,0.208,0.209,0.139,0.020,0.046,1.856
ADA,Short Trades,21,28,29,14,20,28,20,19,22,18,10,8,237
