month,buy_hold,long_ret,long_trades,long_wr,short_ret,short_trades,short_wr,regime_ret,regime_trades,regime_wr
May'25,-40.0,-22.9,11,18,47.6,21,48,27.9,13,54
Jun'25,5.7,0.4,50,32,3.4,121,36,-24.7,94,31
Jul'25,-14.9,-3.1,22,36,4.6,123,33,-5.6,83,33
Aug'25,-4.3,-7.9,22,36,24.7,114,39,-16.7,84,31
Sep'25,24.8,11.4,29,31,52.3,103,45,43.9,83,41
Oct'25,-32.3,-17.4,32,38,53.5,119,34,-20.7,102,25
Nov'25,-36.3,-35.3,25,28,0.6,129,36,-39.7,99,35
Dec'25,-29.8,17.1,13,38,33.4,125,33,-6.9,101,30
Jan'26,24.3,37.8,24,46,28.7,120,37,40.4,94,36
Feb'26,0.8,-16.5,22,32,1.1,115,36,-46.3,84,31
Mar'26,3.1,37.2,14,50,10.1,119,39,78.3,78,46
Apr'26,-13.8,12.6,11,64,36.6,110,39,34.9,60,45
May'26,44.3,87.7,18,56,27.0,93,31,160.6,54,44
Full Year,-70.9,59.4,291,37,1787.4,1413,37,265.7,1104,35
