asset,market_id,entry_time,exit_time,strike,spot,dte_days,direction,entry_pm_yes,exit_pm_yes,closest_strike_iv,atm_iv,skew_adjusted_iv,closest_strike_touch_prob,atm_touch_prob,skew_adjusted_touch_prob,closest_strike_edge,atm_edge,skew_adjusted_edge,pm_moved,pm_pnl_pct,closest_result,atm_result,skew_result
OIL,2230536,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,90.000000,98.912000,19.25,below,0.610000,0.380000,0.648000,0.573077,0.599044,0.316087,0.268002,0.285560,-29.391255,-34.199777,-32.443977,down,-37.7049,1_closest,1_atm,1_skew
OIL,2182203,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,105.000000,98.912000,19.25,above,0.815000,0.825000,0.648000,0.573077,0.556651,0.643796,0.583160,0.568419,-17.120418,-23.183998,-24.658128,up,1.2270,0_closest,0_atm,0_skew
OIL,2230535,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,95.000000,98.912000,19.25,below,0.815000,0.600000,0.648000,0.573077,0.584175,0.625042,0.598411,0.602888,-18.995829,-21.658941,-21.211212,down,-26.3804,1_closest,1_atm,1_skew
OIL,2074237,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,110.000000,98.912000,19.25,above,0.575000,0.585000,0.648000,0.573077,0.543858,0.365736,0.294333,0.264959,-20.926359,-28.066655,-31.004133,up,1.7391,0_closest,0_atm,0_skew
OIL,2132637,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,85.000000,98.912000,19.25,below,0.335000,0.195000,0.648000,0.573077,0.614762,0.122172,0.085091,0.105619,-21.282773,-24.990875,-22.938131,down,-41.7910,1_closest,1_atm,1_skew
GOLD,2074203,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,4900.000000,4714.800000,19.25,above,0.375000,0.060000,0.238000,0.573077,0.562482,0.337934,0.748244,0.741041,-3.706640,37.324442,36.604137,down,-84.0000,1_closest,0_atm,0_skew
OIL,2074236,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,120.000000,98.912000,19.25,above,0.255000,0.215000,0.648000,0.573077,0.519929,0.083384,0.047294,0.027484,-17.161557,-20.770603,-22.751596,down,-15.6863,1_closest,1_atm,1_skew
GOLD,2074202,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,5000.000000,4714.800000,19.25,above,0.165000,0.035500,0.238000,0.573077,0.556926,0.138610,0.590545,0.576181,-2.639006,42.554485,41.118065,down,-78.4848,1_closest,0_atm,0_skew
OIL,2074235,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,130.000000,98.912000,19.25,above,0.125000,0.095000,0.648000,0.573077,0.497917,0.012701,0.004458,0.000969,-11.229884,-12.054152,-12.403056,down,-24.0000,1_closest,1_atm,1_skew
OIL,2132638,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,115.000000,98.912000,19.25,above,0.370000,0.345000,0.648000,0.573077,0.531634,0.184534,0.126929,0.097056,-18.546591,-24.307124,-27.294386,down,-6.7568,1_closest,1_atm,1_skew
OIL,2074240,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,80.000000,98.912000,19.25,below,0.165000,0.100000,0.648000,0.573077,0.631435,0.033850,0.017628,0.029851,-13.114973,-14.737156,-13.514933,down,-39.3939,1_closest,1_atm,1_skew
GOLD,2074201,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,5100.000000,4714.800000,19.25,above,0.060000,0.028000,0.238000,0.573077,0.551480,0.046221,0.452750,0.431051,-1.377890,39.274957,37.105054,down,-53.3333,1_closest,0_atm,0_skew
OIL,2074241,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,70.000000,98.912000,19.25,below,0.055000,0.026500,0.648000,0.573077,0.668156,0.000735,0.000146,0.001042,-5.426451,-5.485385,-5.395790,down,-51.8182,1_closest,1_atm,1_skew
GOLD,2182293,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,4850.000000,4714.800000,19.25,above,0.540000,0.135000,0.238000,0.573077,0.565302,0.488387,0.833088,0.828845,-5.161281,29.308829,28.884481,down,-75.0000,1_closest,0_atm,0_skew
OIL,2074234,2026-05-12 22:00:00+00:00,2026-05-17 20:00:00+00:00,140.000000,98.912000,19.25,above,0.050500,0.033500,0.648000,0.573077,0.477537,0.001392,0.000273,0.000011,-4.910788,-5.022741,-5.048929,down,-33.6634,1_closest,1_atm,1_skew
